# Performance Summary
Metric,Value
Symbol,510300
Start Date,2021-01-04
End Date,2025-12-31
Adjustment,hfq (back-adjusted)
Initial Price,5.7230
Final Price,5.5100
Trading Days,1212
Total Return,-0.037218
Annualized Return,-0.007855
Annualized Volatility,0.159353
Sharpe Ratio,-0.174801
Max Drawdown,-0.384652
Max Drawdown Start,2021-02-10
Max Drawdown End,2024-02-02
Calmar Ratio,-0.020421
Daily Win Rate,0.483072

# Daily Series
,Close,Cumulative NAV,Drawdown
2023-05-10,4.588,0.8016774419011022,-0.26802807913209836
2023-05-11,4.583,0.8008037742442788,-0.268825781748563
2023-05-12,4.532,0.7918923641446807,-0.2769623484365018
2023-05-15,4.595,0.8029005766206547,-0.2669112954690481
2023-05-16,4.578,0.7999301065874554,-0.2696234843650276
2023-05-17,4.551,0.7952123012406094,-0.2739310784939364
2023-05-18,4.55,0.7950375677092447,-0.2740906190172293
2023-05-19,4.544,0.7939891665210567,-0.27504786215698684
2023-05-22,4.564,0.79748383714835,-0.2718570516911285
2023-05-23,4.507,0.7875240258605638,-0.28095086151882487
2023-05-24,4.454,0.7782631486982364,-0.2894065092533493
2023-05-25,4.445,0.7766905469159545,-0.2908423739629855
2023-05-26,4.45,0.7775642145727778,-0.2900446713465209
2023-05-29,4.434,0.7747684780709431,-0.29259731971920766
2023-05-30,4.438,0.7754674121964016,-0.2919591576260361
2023-05-31,4.402,0.7691770050672736,-0.29770261646458107
2023-06-01,4.41,0.770574873318191,-0.2964262922782377
2023-06-02,4.463,0.7798357504805185,-0.28797064454371313
2023-06-05,4.445,0.7766905469159545,-0.2908423739629855
2023-06-06,4.408,0.7702254062554618,-0.2967453733248234
2023-06-07,4.396,0.7681286038790857,-0.2986598596043385
2023-06-08,4.428,0.7737200768827551,-0.2935545628589651
2023-06-09,4.444,0.7765158133845897,-0.29100191448627843
2023-06-12,4.448,0.7772147475100485,-0.29036375239310674
2023-06-13,4.477,0.7822820199196239,-0.2857370772176122
2023-06-14,4.477,0.7822820199196239,-0.2857370772176122
2023-06-15,4.542,0.7936396994583274,-0.2753669432035726
2023-06-16,4.579,0.8001048401188202,-0.26946394384173467
2023-06-19,4.549,0.7948628341778802,-0.2742501595405221
2023-06-20,4.542,0.7936396994583275,-0.2753669432035726
2023-06-21,4.487,0.7840293552332708,-0.2841416719846829
2023-06-26,4.443,0.7763410798532252,-0.29116145500957125
2023-06-27,4.469,0.7808841516687067,-0.28701340140395537
2023-06-28,4.477,0.7822820199196241,-0.285737077217612
2023-06-29,4.459,0.7791368163550599,-0.2886088066368846
2023-06-30,4.482,0.7831556875764475,-0.2849393746011474
2023-07-03,4.527,0.7910186964878575,-0.2777600510529662
2023-07-04,4.534,0.7922418312074101,-0.27664326738991585
2023-07-05,4.507,0.787524025860564,-0.28095086151882465
2023-07-06,4.479,0.7826314869823533,-0.28541799617102626
2023-07-07,4.468,0.780709418137342,-0.2871729419272484
2023-07-10,4.484,0.7835051546391767,-0.28462029355456164
2023-07-11,4.51,0.7880482264546581,-0.28047223994894577
2023-07-12,4.491,0.7847282893587294,-0.2835035098915112
2023-07-13,4.554,0.7957365018347037,-0.2734524569240574
2023-07-14,4.552,0.7953870347719743,-0.27377153797064324
2023-07-17,4.524,0.7904944958937636,-0.27823867262284485
2023-07-18,4.518,0.7894460947055756,-0.2791959157626024
2023-07-19,4.516,0.7890966276428463,-0.27951499680918823
2023-07-20,4.488,0.7842040887646355,-0.28398213146138984
2023-07-21,4.49,0.7845535558273649,-0.283663050414804
2023-07-24,4.473,0.7815830857941654,-0.2863752393107837
2023-07-25,4.585,0.8011532413070083,-0.26850670070197713
