date,code,open,high,low,close,volume,amount,turn,adjustflag
2018-06-12,sz.000002,2812.9208651100,2839.4482290900,2778.2312352900,2827.2048303300,49837248,1376048984.2500,0.512984,1
2018-06-13,sz.000002,2796.5963334300,2882.3001247500,2786.3935011300,2820.0628477200,60284357,1680583497.2500,0.620518,1
2018-06-14,sz.000002,2803.7383160400,2832.3062464800,2767.0081197600,2792.5152005100,35760445,980418255.5700,0.368089,1
2018-06-15,sz.000002,2792.5152005100,2887.4015409000,2788.4340675900,2855.7727607700,69819518,1951841870.9400,0.718665,1
2018-06-19,sz.000002,2841.4887955500,2841.4887955500,2745.5821719300,2764.9675533000,60044211,1639680595.9500,0.618046,1
2018-06-20,sz.000002,2753.7444377700,2784.3529346700,2694.5680104300,2750.6835880800,39340042,1059357118.5200,0.404934,1
2018-06-21,sz.000002,2751.7038713100,2907.8072055000,2736.3996228600,2829.2453967900,77793209,2167319528.1100,0.800740,1
2018-06-22,sz.000002,2805.7788825000,2877.1987086000,2799.6571831200,2866.9958763000,44436660,1235687451.8400,0.457395,1
2018-06-25,sz.000002,2882.3001247500,2895.5638067400,2694.5680104300,2702.7302762700,61581176,1686677902.7800,0.633866,1
2018-06-26,sz.000002,2634.3712998600,2658.8580973800,2533.3632600900,2605.8033694200,59180932,1503936867.8800,0.609160,1
2018-06-27,sz.000002,2601.7222365000,2602.7425197300,2429.2943706300,2471.1259830600,67234728,1652394698.9700,0.692059,1
2018-06-28,sz.000002,2434.3957867800,2506.8358961100,2397.6655905000,2436.4363532400,46251282,1114653844.0700,0.476073,1
2018-06-29,sz.000002,2458.8825843000,2509.8967458000,2437.4566364700,2509.8967458000,35288491,859583948.5100,0.363231,1
2018-07-02,sz.000002,2499.6939135000,2504.7953296500,2297.6778339600,2326.2457644000,84620386,1981131638.5200,0.871013,1
2018-07-03,sz.000002,2356.8542613000,2395.6250240400,2326.2457644000,2389.5033246600,54996488,1274023575.6100,0.566089,1
2018-07-04,sz.000002,2393.5844575800,2423.1726712500,2346.6514290000,2346.6514290000,24988103,582470214.5700,0.257207,1
2018-07-05,sz.000002,2348.6919954600,2388.4830414300,2331.3471805500,2351.7528451500,26727861,619393007.6900,0.275115,1
2018-07-06,sz.000002,2381.3410588200,2407.8684228000,2310.9415159500,2368.0773768300,34693001,805107096.2800,0.357101,1
2018-07-09,sz.000002,2384.4019085100,2453.7811681500,2384.4019085100,2449.7000352300,40462660,964798996.8700,0.416489,1
2018-07-10,sz.000002,2469.0854166000,2498.6736302700,2425.2132377100,2463.9840004500,38925948,936534189.8300,0.400672,1
2018-07-11,sz.000002,2395.6250240400,2410.9292724900,2363.9962439100,2393.5844575800,28605297,668957022.2500,0.294439,1
2018-07-12,sz.000002,2405.8278563400,2471.1259830600,2394.6047408100,2433.3755035500,38422840,916845446.3800,0.395493,1
2018-07-13,sz.000002,2473.1665495200,2484.3896650500,2411.9495557200,2420.1118215600,40755534,976014586.0100,0.419504,1
2018-07-16,sz.000002,2406.8481395700,2413.9901221800,2327.2660476300,2361.9556774500,43069406,994746276.4900,0.443321,1
2018-07-17,sz.000002,2351.7528451500,2375.2193594400,2310.9415159500,2344.6108625400,31386930,718627835.9300,0.323071,1
2018-07-18,sz.000002,2348.6919954600,2351.7528451500,2287.4750016600,2292.5764178100,41064188,930105273.5400,0.422681,1
2018-07-19,sz.000002,2316.0429321000,2342.5702960800,2295.6372675000,2314.0023656400,50694938,1154160796.8000,0.521812,1
2018-07-20,sz.000002,2309.9212327200,2396.6453072700,2246.6636724600,2360.9353942200,61019534,1390937599.9300,0.628085,1
2018-07-23,sz.000002,2342.5702960800,2438.4769197000,2336.4485967000,2423.1726712500,55570613,1306045471.1400,0.571998,1
2018-07-24,sz.000002,2452.7608849200,2559.8906240700,2452.7608849200,2487.4505147400,83281422,2055205705.2600,0.857231,1
2018-07-25,sz.000002,2487.4505147400,2507.8561793400,2448.6797520000,2467.0448501400,35518297,860631782.8300,0.365596,1
2018-07-26,sz.000002,2483.3693818200,2500.7141967300,2404.8075731100,2419.0915383300,38513480,924376000.9800,0.396426,1
2018-07-27,sz.000002,2402.7670066500,2429.2943706300,2371.1382265200,2379.3004923600,32282763,757327314.9100,0.332292,1
