date,code,open,high,low,close,volume,amount,turn,adjustflag
2016-04-15,sz.300502,92.5000000000,92.8800000000,89.3800000000,90.2400000000,4042380,367232544.0000,20.837010,1
2016-04-18,sz.300502,89.0000000000,89.0000000000,85.8500000000,88.4600000000,2240158,196490457.0000,11.547206,1
2016-04-19,sz.300502,88.4300000000,92.4300000000,88.4300000000,91.8200000000,3183599,288322448.0000,16.410304,1
2016-04-20,sz.300502,92.0200000000,92.4500000000,83.0000000000,86.0000000000,4172286,364165312.0000,21.506629,1
2016-04-21,sz.300502,84.3000000000,86.6900000000,82.1000000000,82.1000000000,2398307,202766132.0000,12.362407,1
2016-04-22,sz.300502,81.3000000000,83.1200000000,80.3200000000,82.4900000000,2189925,178782212.0000,11.288273,1
2016-04-25,sz.300502,82.0000000000,82.4900000000,78.6800000000,81.7500000000,1632623,131758648.0000,8.415582,1
2016-04-26,sz.300502,80.9300000000,83.9000000000,80.9300000000,83.6300000000,2072816,170910850.0000,10.684619,1
2016-04-27,sz.300502,83.7000000000,84.0000000000,81.0000000000,81.4000000000,1906685,157945557.0000,9.828273,1
2016-04-28,sz.300502,80.4200000000,81.4400000000,78.5000000000,81.4400000000,1988091,158750958.0000,10.247892,1
2016-04-29,sz.300502,80.4900000000,82.1900000000,80.0300000000,81.1200000000,1294911,105349411.0000,6.674799,1
2016-05-03,sz.300502,81.3000000000,84.1800000000,80.0500000000,83.9000000000,1908779,158221042.0000,9.839067,1
2016-05-04,sz.300502,83.2000000000,85.1000000000,83.0000000000,84.5000000000,2155663,181902953.0000,11.111665,1
2016-05-05,sz.300502,84.4900000000,85.8400000000,83.0000000000,85.2700000000,1737400,147448062.0000,8.955670,1
2016-05-06,sz.300502,84.9000000000,86.7900000000,81.2300000000,81.2300000000,3141657,263799125.0000,16.194108,1
2016-05-09,sz.300502,79.0900000000,79.8000000000,77.5500000000,77.9000000000,1828903,143785841.0000,9.427335,1
2016-05-10,sz.300502,77.7200000000,78.5000000000,76.5600000000,76.8600000000,1262918,97903483.0000,6.509887,1
2016-05-11,sz.300502,77.5000000000,77.8800000000,73.8800000000,74.1000000000,1507349,114281753.0000,7.769840,1
2016-05-12,sz.300502,72.6000000000,73.4800000000,70.5000000000,72.9500000000,1346885,96673920.0000,6.942706,1
2016-05-13,sz.300502,72.1300000000,73.9000000000,71.7100000000,72.3100000000,1005293,73298729.0000,5.181923,1
2016-05-16,sz.300502,71.0100000000,73.9900000000,71.0100000000,73.9600000000,1018115,74666854.0000,5.248015,1
2016-05-17,sz.300502,74.2000000000,75.6200000000,73.2000000000,74.7300000000,1386299,102915690.0000,7.145871,1
2016-05-18,sz.300502,73.8000000000,73.8500000000,69.3000000000,70.0000000000,1601030,113775565.0000,8.252732,1
2016-05-19,sz.300502,70.0900000000,72.5000000000,70.0600000000,70.5100000000,1177279,84226462.0000,6.068448,1
2016-05-20,sz.300502,70.0000000000,75.2500000000,69.3300000000,75.2500000000,2337722,170799040.0000,12.050113,1
2016-05-23,sz.300502,75.8200000000,80.0800000000,75.2200000000,78.5000000000,2655783,207354830.0000,13.689603,1
2016-05-24,sz.300502,77.8000000000,77.8000000000,75.5000000000,77.0300000000,1833405,140316067.0000,9.450541,1
2016-05-25,sz.300502,78.1900000000,80.9800000000,77.5000000000,78.3200000000,2542099,201802016.0000,13.103603,1
